12:26:50 [INFO] Opening target process: csgo.exe
12:26:50 [INFO] Found signature: m_flSpawnTime => 0xA370
12:26:50 [INFO] Found signature: find_hud_element => 0x328AF5A0
12:26:50 [INFO] Finished signature scanning: 58/58 items successful
12:26:50 [INFO] Starting netvar scanning: 86 items
12:26:50 [INFO] Found netvar: m_ArmorValue => 0xB37C
12:26:50 [INFO] Found netvar: m_Collision => 0x320
12:26:50 [INFO] Found netvar: m_CollisionGroup => 0x474
12:26:50 [INFO] Found netvar: m_Local => 0x2FBC
12:26:50 [INFO] Found netvar: m_MoveType => 0x25B
12:26:50 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
12:26:50 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
12:26:50 [INFO] Found netvar: m_aimPunchAngle => 0x302C
12:26:50 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
12:26:50 [INFO] Found netvar: m_bGunGameImmunity => 0x3944
12:26:50 [INFO] Found netvar: m_bHasDefuser => 0xB38C
12:26:50 [INFO] Found netvar: m_bHasHelmet => 0xB370
12:26:50 [INFO] Found netvar: m_bInReload => 0x3238
12:26:50 [INFO] Found netvar: m_bIsDefusing => 0x3930
12:26:50 [INFO] Found netvar: m_bIsScoped => 0x3928
12:26:50 [INFO] Found netvar: m_bSpotted => 0x93D
12:26:50 [INFO] Found netvar: m_bSpottedByMask => 0x980
12:26:50 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
12:26:50 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
12:26:50 [INFO] Found netvar: m_fFlags => 0x104
12:26:50 [INFO] Found netvar: m_flFallbackWear => 0x31D0
12:26:50 [INFO] Found netvar: m_flFlashDuration => 0xA420
12:26:50 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
12:26:50 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
12:26:50 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
12:26:50 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
12:26:50 [INFO] Found netvar: m_hObserverTarget => 0x338C
12:26:50 [INFO] Found netvar: m_hOwner => 0x29CC
12:26:50 [INFO] Found netvar: m_hOwnerEntity => 0x14C
12:26:50 [INFO] Found netvar: m_iAccountID => 0x2FC8
12:26:50 [INFO] Found netvar: m_iClip1 => 0x3264
12:26:50 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
12:26:50 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
12:26:50 [INFO] Found netvar: m_iCrosshairId => 0xB38C
12:26:50 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
12:26:50 [INFO] Found netvar: m_iFOVStart => 0x31E8
12:26:50 [INFO] Found netvar: m_iGlowIndex => 0xA420
12:26:50 [INFO] Found netvar: m_iHealth => 0x100
12:26:50 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
12:26:50 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
12:26:50 [INFO] Found netvar: m_iObserverMode => 0x3378
12:26:50 [INFO] Found netvar: m_iShotsFired => 0xA390
12:26:50 [INFO] Found netvar: m_iState => 0x3258
12:26:50 [INFO] Found netvar: m_iTeamNum => 0xF4
12:26:50 [INFO] Found netvar: m_lifeState => 0x25F
12:26:50 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
12:26:50 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
12:26:50 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
12:26:50 [INFO] Found netvar: m_iDefaultFOV => 0x332C
12:26:50 [INFO] Found netvar: m_totalHitsOnServer => 0xA3A8
12:26:50 [INFO] Found netvar: m_nForceBone => 0x268C
12:26:50 [INFO] Found netvar: m_nTickBase => 0x3430
12:26:50 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
12:26:50 [INFO] Found netvar: m_szCustomName => 0x303C
12:26:50 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
12:26:50 [INFO] Found netvar: m_vecOrigin => 0x138
12:26:50 [INFO] Found netvar: m_vecVelocity => 0x114
12:26:50 [INFO] Found netvar: m_vecViewOffset => 0x108
12:26:50 [INFO] Found netvar: m_viewPunchAngle => 0x3020
12:26:50 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
12:26:50 [INFO] Found netvar: m_clrRender => 0x70
12:26:50 [INFO] Found netvar: m_flC4Blow => 0x2990
12:26:50 [INFO] Found netvar: m_flTimerLength => 0x2994
12:26:50 [INFO] Found netvar: m_flDefuseLength => 0x29A8
12:26:50 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
12:26:50 [INFO] Found netvar: cs_gamerules_data => 0x0
12:26:50 [INFO] Found netvar: m_SurvivalRules => 0xD00
12:26:50 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
12:26:50 [INFO] Found netvar: m_bIsValveDS => 0x7C
12:26:50 [INFO] Found netvar: m_bFreezePeriod => 0x20
12:26:50 [INFO] Found netvar: m_bBombPlanted => 0x9A5
12:26:50 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
12:26:50 [INFO] Found netvar: m_flSimulationTime => 0x268
12:26:50 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A90
12:26:50 [INFO] Found netvar: m_angEyeAnglesX => 0xB380
12:26:50 [INFO] Found netvar: m_angEyeAnglesY => 0xB384
12:26:50 [INFO] Found netvar: m_flNextAttack => 0x2D70
12:26:50 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
12:26:50 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
12:26:50 [INFO] Found netvar: m_bStartedArming => 0x33F0
12:26:50 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
12:26:50 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
12:26:50 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
12:26:50 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
12:26:50 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
12:26:50 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
12:26:50 [INFO] Finished netvar scanning: 86/86 items successful
14:12:26 [INFO] Opening target process: csgo.exe
14:12:26 [INFO] Starting signature scanning: 58 items
14:12:26 [INFO] Found signature: dwClientState => 0x588FEC
14:12:26 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
14:12:26 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
14:12:26 [INFO] Found signature: dwClientState_Map => 0x28C
14:12:26 [INFO] Found signature: dwClientState_MapDirectory => 0x188
14:12:26 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
14:12:26 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
14:12:26 [INFO] Found signature: dwClientState_State => 0x108
14:12:26 [WARN] dwClientState_ViewAngles sigscan failed: Pattern not found
14:12:26 [INFO] Found signature: clientstate_delta_ticks => 0x174
14:12:26 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
14:12:26 [INFO] Found signature: clientstate_choked_commands => 0x4D30
14:12:26 [INFO] Found signature: clientstate_net_channel => 0x9C
14:12:26 [INFO] Found signature: dwEntityList => 0x4DA31BC
14:12:26 [INFO] Found signature: dwForceAttack => 0x31D36E4
14:12:26 [INFO] Found signature: dwForceAttack2 => 0x31D36F0
14:12:26 [INFO] Found signature: dwForceBackward => 0x31D372C
14:12:26 [INFO] Found signature: dwForceForward => 0x31D3738
14:12:26 [INFO] Found signature: dwForceJump => 0x524CFAC
14:12:26 [INFO] Found signature: dwForceLeft => 0x31D3750
14:12:26 [INFO] Found signature: dwForceRight => 0x31D3744
14:12:26 [INFO] Found signature: dwGameDir => 0x627780
14:12:26 [INFO] Found signature: dwGameRulesProxy => 0x52C029C
14:12:26 [INFO] Found signature: dwGetAllClasses => 0xDB201C
14:12:26 [INFO] Found signature: dwGlobalVars => 0x588CF0
14:12:26 [INFO] Found signature: ptrEntityList => 0x38DE12C
14:12:26 [INFO] Found signature: dwGlowObjectManager => 0x52EB640
14:12:26 [INFO] Found signature: dwInput => 0x51F4780
14:12:26 [INFO] Found signature: dwInterfaceLinkList => 0x944E34
14:12:26 [INFO] Found signature: dwLocalPlayer => 0xD8A2CC
14:12:26 [INFO] Found signature: dwMouseEnable => 0xD8FE18
14:12:26 [INFO] Found signature: dwMouseEnablePtr => 0xD8FDE8
14:12:26 [INFO] Found signature: dwPlayerResource => 0x31D1A70
14:12:26 [INFO] Found signature: dwRadarBase => 0x51D7F34
14:12:26 [INFO] Found signature: dwSensitivity => 0xD8FCB4
14:12:26 [INFO] Found signature: dwSensitivityPtr => 0xD8FC88
14:12:26 [INFO] Found signature: dwSetClanTag => 0x8A1B0
14:12:26 [INFO] Found signature: dwViewMatrix => 0x4D94AD4
14:12:26 [INFO] Found signature: dwWeaponTable => 0x51F5240
14:12:26 [INFO] Found signature: dwWeaponTableIndex => 0x325C
14:12:26 [INFO] Found signature: dwYawPtr => 0xD8FA78
14:12:26 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD94D18
14:12:26 [INFO] Found signature: dwbSendPackets => 0xD779A
14:12:26 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
14:12:26 [INFO] Found signature: m_pStudioHdr => 0x294C
14:12:26 [INFO] Found signature: m_yawClassPtr => 0xD8FA78
14:12:26 [INFO] Found signature: m_pitchClassPtr => 0x51D81D0
14:12:26 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
14:12:26 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
14:12:26 [INFO] Found signature: m_bDormant => 0xED
14:12:26 [INFO] Found signature: model_ambient_min => 0x58C064
14:12:26 [INFO] Found signature: set_abs_angles => 0x1E0AC0
14:12:26 [INFO] Found signature: set_abs_origin => 0x1E0900
14:12:26 [INFO] Found signature: is_c4_owner => 0x3BC2C0
14:12:26 [INFO] Found signature: force_update_spectator_glow => 0x3AF66A
14:12:26 [INFO] Found signature: anim_overlays => 0x2980
14:12:26 [INFO] Found signature: m_flSpawnTime => 0xA370
14:12:26 [INFO] Found signature: find_hud_element => 0x319AF720
14:12:26 [INFO] Finished signature scanning: 57/58 items successful
14:12:26 [INFO] Starting netvar scanning: 86 items
14:12:26 [INFO] Found netvar: m_ArmorValue => 0xB37C
14:12:26 [INFO] Found netvar: m_Collision => 0x320
14:12:26 [INFO] Found netvar: m_CollisionGroup => 0x474
14:12:26 [INFO] Found netvar: m_Local => 0x2FBC
14:12:26 [INFO] Found netvar: m_MoveType => 0x25B
14:12:26 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
14:12:26 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
14:12:26 [INFO] Found netvar: m_aimPunchAngle => 0x302C
14:12:26 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
14:12:26 [INFO] Found netvar: m_bGunGameImmunity => 0x3944
14:12:26 [INFO] Found netvar: m_bHasDefuser => 0xB38C
14:12:26 [INFO] Found netvar: m_bHasHelmet => 0xB370
14:12:26 [INFO] Found netvar: m_bInReload => 0x3238
14:12:26 [INFO] Found netvar: m_bIsDefusing => 0x3930
14:12:26 [INFO] Found netvar: m_bIsScoped => 0x3928
14:12:26 [INFO] Found netvar: m_bSpotted => 0x93D
14:12:26 [INFO] Found netvar: m_bSpottedByMask => 0x980
14:12:26 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
14:12:26 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
14:12:26 [INFO] Found netvar: m_fFlags => 0x104
14:12:26 [INFO] Found netvar: m_flFallbackWear => 0x31D0
14:12:26 [INFO] Found netvar: m_flFlashDuration => 0xA420
14:12:26 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
14:12:26 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
14:12:26 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
14:12:26 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
14:12:26 [INFO] Found netvar: m_hObserverTarget => 0x338C
14:12:26 [INFO] Found netvar: m_hOwner => 0x29CC
14:12:26 [INFO] Found netvar: m_hOwnerEntity => 0x14C
14:12:26 [INFO] Found netvar: m_iAccountID => 0x2FC8
14:12:26 [INFO] Found netvar: m_iClip1 => 0x3264
14:12:26 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
14:12:26 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
14:12:26 [INFO] Found netvar: m_iCrosshairId => 0xB38C
14:12:26 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
14:12:26 [INFO] Found netvar: m_iFOVStart => 0x31E8
14:12:26 [INFO] Found netvar: m_iGlowIndex => 0xA420
14:12:26 [INFO] Found netvar: m_iHealth => 0x100
14:12:26 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
14:12:26 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
14:12:26 [INFO] Found netvar: m_iObserverMode => 0x3378
14:12:26 [INFO] Found netvar: m_iShotsFired => 0xA390
14:12:26 [INFO] Found netvar: m_iState => 0x3258
14:12:26 [INFO] Found netvar: m_iTeamNum => 0xF4
14:12:26 [INFO] Found netvar: m_lifeState => 0x25F
14:12:26 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
14:12:26 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
14:12:26 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
14:12:26 [INFO] Found netvar: m_iDefaultFOV => 0x332C
14:12:26 [INFO] Found netvar: m_totalHitsOnServer => 0xA3A8
14:12:26 [INFO] Found netvar: m_nForceBone => 0x268C
14:12:26 [INFO] Found netvar: m_nTickBase => 0x3430
14:12:26 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
14:12:26 [INFO] Found netvar: m_szCustomName => 0x303C
14:12:26 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
14:12:26 [INFO] Found netvar: m_vecOrigin => 0x138
14:12:26 [INFO] Found netvar: m_vecVelocity => 0x114
14:12:26 [INFO] Found netvar: m_vecViewOffset => 0x108
14:12:26 [INFO] Found netvar: m_viewPunchAngle => 0x3020
14:12:26 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
14:12:26 [INFO] Found netvar: m_clrRender => 0x70
14:12:26 [INFO] Found netvar: m_flC4Blow => 0x2990
14:12:26 [INFO] Found netvar: m_flTimerLength => 0x2994
14:12:26 [INFO] Found netvar: m_flDefuseLength => 0x29A8
14:12:26 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
14:12:26 [INFO] Found netvar: cs_gamerules_data => 0x0
14:12:26 [INFO] Found netvar: m_SurvivalRules => 0xD00
14:12:26 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
14:12:26 [INFO] Found netvar: m_bIsValveDS => 0x7C
14:12:26 [INFO] Found netvar: m_bFreezePeriod => 0x20
14:12:26 [INFO] Found netvar: m_bBombPlanted => 0x9A5
14:12:26 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
14:12:26 [INFO] Found netvar: m_flSimulationTime => 0x268
14:12:26 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A90
14:12:26 [INFO] Found netvar: m_angEyeAnglesX => 0xB380
14:12:26 [INFO] Found netvar: m_angEyeAnglesY => 0xB384
14:12:26 [INFO] Found netvar: m_flNextAttack => 0x2D70
14:12:26 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
14:12:26 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
14:12:26 [INFO] Found netvar: m_bStartedArming => 0x33F0
14:12:26 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
14:12:26 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
14:12:26 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
14:12:26 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
14:12:26 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
14:12:26 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
14:12:26 [INFO] Finished netvar scanning: 86/86 items successful
14:28:01 [INFO] Opening target process: csgo.exe
14:28:01 [INFO] Starting signature scanning: 58 items
14:28:01 [INFO] Found signature: dwClientState => 0x588FEC
14:28:01 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
14:28:01 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
14:28:01 [INFO] Found signature: dwClientState_Map => 0x28C
14:28:01 [INFO] Found signature: dwClientState_MapDirectory => 0x188
14:28:01 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
14:28:01 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
14:28:01 [INFO] Found signature: dwClientState_State => 0x108
14:28:01 [WARN] dwClientState_ViewAngles sigscan failed: Pattern not found
14:28:01 [INFO] Found signature: clientstate_delta_ticks => 0x174
14:28:01 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
14:28:01 [INFO] Found signature: clientstate_choked_commands => 0x4D30
14:28:01 [INFO] Found signature: clientstate_net_channel => 0x9C
14:28:01 [INFO] Found signature: dwEntityList => 0x4DA31BC
14:28:01 [INFO] Found signature: dwForceAttack => 0x31D36E4
14:28:01 [INFO] Found signature: dwForceAttack2 => 0x31D36F0
14:28:01 [INFO] Found signature: dwForceBackward => 0x31D372C
14:28:01 [INFO] Found signature: dwForceForward => 0x31D3738
14:28:01 [INFO] Found signature: dwForceJump => 0x524CFAC
14:28:01 [INFO] Found signature: dwForceLeft => 0x31D3750
14:28:01 [INFO] Found signature: dwForceRight => 0x31D3744
14:28:01 [INFO] Found signature: dwGameDir => 0x627780
14:28:01 [INFO] Found signature: dwGameRulesProxy => 0x52C029C
14:28:01 [INFO] Found signature: dwGetAllClasses => 0xDB201C
14:28:01 [INFO] Found signature: dwGlobalVars => 0x588CF0
14:28:01 [INFO] Found signature: ptrEntityList => 0x38DE12C
14:28:01 [INFO] Found signature: dwGlowObjectManager => 0x52EB640
14:28:01 [INFO] Found signature: dwInput => 0x51F4780
14:28:01 [INFO] Found signature: dwInterfaceLinkList => 0x944E34
14:28:01 [INFO] Found signature: dwLocalPlayer => 0xD8A2CC
14:28:01 [INFO] Found signature: dwMouseEnable => 0xD8FE18
14:28:01 [INFO] Found signature: dwMouseEnablePtr => 0xD8FDE8
14:28:01 [INFO] Found signature: dwPlayerResource => 0x31D1A70
14:28:01 [INFO] Found signature: dwRadarBase => 0x51D7F34
14:28:01 [INFO] Found signature: dwSensitivity => 0xD8FCB4
14:28:01 [INFO] Found signature: dwSensitivityPtr => 0xD8FC88
14:28:01 [INFO] Found signature: dwSetClanTag => 0x8A1B0
14:28:01 [INFO] Found signature: dwViewMatrix => 0x4D94AD4
14:28:01 [INFO] Found signature: dwWeaponTable => 0x51F5240
14:28:01 [INFO] Found signature: dwWeaponTableIndex => 0x325C
14:28:01 [INFO] Found signature: dwYawPtr => 0xD8FA78
14:28:01 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD94D18
14:28:01 [INFO] Found signature: dwbSendPackets => 0xD779A
14:28:01 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
14:28:01 [INFO] Found signature: m_pStudioHdr => 0x294C
14:28:01 [INFO] Found signature: m_yawClassPtr => 0xD8FA78
14:28:01 [INFO] Found signature: m_pitchClassPtr => 0x51D81D0
14:28:01 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
14:28:01 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
14:28:01 [INFO] Found signature: m_bDormant => 0xED
14:28:01 [INFO] Found signature: model_ambient_min => 0x58C064
14:28:01 [INFO] Found signature: set_abs_angles => 0x1E0AC0
14:28:01 [INFO] Found signature: set_abs_origin => 0x1E0900
14:28:01 [INFO] Found signature: is_c4_owner => 0x3BC2C0
14:28:01 [INFO] Found signature: force_update_spectator_glow => 0x3AF66A
14:28:01 [INFO] Found signature: anim_overlays => 0x2980
14:28:01 [INFO] Found signature: m_flSpawnTime => 0xA370
14:28:01 [INFO] Found signature: find_hud_element => 0x312FF720
14:28:01 [INFO] Finished signature scanning: 57/58 items successful
14:28:01 [INFO] Starting netvar scanning: 86 items
14:28:01 [INFO] Found netvar: m_ArmorValue => 0xB37C
14:28:01 [INFO] Found netvar: m_Collision => 0x320
14:28:01 [INFO] Found netvar: m_CollisionGroup => 0x474
14:28:01 [INFO] Found netvar: m_Local => 0x2FBC
14:28:01 [INFO] Found netvar: m_MoveType => 0x25B
14:28:01 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
14:28:01 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
14:28:01 [INFO] Found netvar: m_aimPunchAngle => 0x302C
14:28:01 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
14:28:01 [INFO] Found netvar: m_bGunGameImmunity => 0x3944
14:28:01 [INFO] Found netvar: m_bHasDefuser => 0xB38C
14:28:01 [INFO] Found netvar: m_bHasHelmet => 0xB370
14:28:01 [INFO] Found netvar: m_bInReload => 0x3238
14:28:01 [INFO] Found netvar: m_bIsDefusing => 0x3930
14:28:01 [INFO] Found netvar: m_bIsScoped => 0x3928
14:28:01 [INFO] Found netvar: m_bSpotted => 0x93D
14:28:01 [INFO] Found netvar: m_bSpottedByMask => 0x980
14:28:01 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
14:28:01 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
14:28:01 [INFO] Found netvar: m_fFlags => 0x104
14:28:01 [INFO] Found netvar: m_flFallbackWear => 0x31D0
14:28:01 [INFO] Found netvar: m_flFlashDuration => 0xA420
14:28:01 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
14:28:01 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
14:28:01 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
14:28:01 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
14:28:01 [INFO] Found netvar: m_hObserverTarget => 0x338C
14:28:01 [INFO] Found netvar: m_hOwner => 0x29CC
14:28:01 [INFO] Found netvar: m_hOwnerEntity => 0x14C
14:28:01 [INFO] Found netvar: m_iAccountID => 0x2FC8
14:28:01 [INFO] Found netvar: m_iClip1 => 0x3264
14:28:01 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
14:28:01 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
14:28:01 [INFO] Found netvar: m_iCrosshairId => 0xB38C
14:28:01 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
14:28:01 [INFO] Found netvar: m_iFOVStart => 0x31E8
14:28:01 [INFO] Found netvar: m_iGlowIndex => 0xA420
14:28:01 [INFO] Found netvar: m_iHealth => 0x100
14:28:01 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
14:28:01 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
14:28:01 [INFO] Found netvar: m_iObserverMode => 0x3378
14:28:01 [INFO] Found netvar: m_iShotsFired => 0xA390
14:28:01 [INFO] Found netvar: m_iState => 0x3258
14:28:01 [INFO] Found netvar: m_iTeamNum => 0xF4
14:28:01 [INFO] Found netvar: m_lifeState => 0x25F
14:28:01 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
14:28:01 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
14:28:01 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
14:28:01 [INFO] Found netvar: m_iDefaultFOV => 0x332C
14:28:01 [INFO] Found netvar: m_totalHitsOnServer => 0xA3A8
14:28:01 [INFO] Found netvar: m_nForceBone => 0x268C
14:28:01 [INFO] Found netvar: m_nTickBase => 0x3430
14:28:01 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
14:28:01 [INFO] Found netvar: m_szCustomName => 0x303C
14:28:01 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
